"lambda","beta","risk","constraint","obj","policy_value"
9,0.5,0.610146547466787,0.00908424856544326,0.691904784555776,-0.0472874483787054
9,0.5,0.594124601880224,0.00953061229771781,0.679900112559684,-0.0541460624628006
3,0.05,0.132622479279816,0.0907963981766869,0.405011673809877,-0.0951230043445715
9,0.5,0.569566503400968,0.0123912820845482,0.681088042161902,-0.0606983654612063
10,0.5,0.639444254717533,0.00488208545178481,0.688265109235381,-0.0514202396403845
10,0.5,0.656891559039914,0.00459102677034727,0.702801826743386,-0.0665186642583175
10,0.5,0.66745307486309,0.003353953295198,0.70099260781507,-0.0421626385935971
10,0.5,0.661745378516775,0.00288245290132487,0.690569907530024,-0.0482621807847737
10,0.5,0.638175848902382,0.00508505977508863,0.689026446653268,-0.0542994428338451
0,1,-0.0102397980279531,0.216678773339532,-0.0102397980279531,-0.151505726131945
0,1,-0.0143358778032087,0.199127499872906,-0.0143358778032087,-0.146368160961627
0,1,-0.0141333050035239,0.200861400229803,-0.0141333050035239,-0.122491052434596
0,1,-0.0156231317938853,0.188917103579602,-0.0156231317938853,-0.137521917730161
3,0.05,0.129757486806291,0.093759071641459,0.411034701730668,-0.10539421452051
0,1,-0.0129385195131126,0.199991180697499,-0.0129385195131126,-0.129806729836707
1,1,-0.00385986167933652,0.169741193606968,0.165881331927631,-0.128238620416195
1,1,-0.00427866731747134,0.171156484696456,0.166877817378985,-0.136317947683617
1,1,-0.004849308772818,0.17181784741529,0.166968538642472,-0.11212225124147
1,1,-0.00681503547610222,0.171695305775716,0.164880270299614,-0.125128209514743
1,1,-0.00591919465597055,0.169639742038721,0.16372054738275,-0.126665440546912
2,1,0.0153637283457257,0.153127317551676,0.321618363449077,-0.1201135993726
2,1,0.0319431248718263,0.144678515225687,0.3213001553232,-0.123064919185142
2,1,0.0429659470289845,0.138185498467708,0.3193369439644,-0.102826084654529
2,1,0.0270014684802811,0.142519052589633,0.312039573659547,-0.11298487924307
3,0.05,0.124037923934108,0.0947383179608061,0.408252877816526,-0.0823268455140965
2,1,0.0150999882925396,0.151007715234171,0.317115418760882,-0.115031035769891
3,1,0.0761307988706503,0.122923752897677,0.444902057563682,-0.102755599870373
